job_id,job_title,company_name,location,employment_type,experience_level,department,salary_range,job_description,responsibilities,requirements,preferred_qualifications,required_skills,preferred_skills,status
JD-265860,Senior Game Developer,Flipkart,"Chennai, India",Contract,Senior Level,Engineering,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with C#, Unity, VR/AR Architecture",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,C#; Unity; VR/AR Architecture; Haptics,Large-scale UI Systems,Not Active
JD-676802,Senior Game Developer,Capgemini India,"Noida, India",Contract,Lead / Architect,Engineering,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with C#, Unity, VR/AR Architecture",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,C#; Unity; VR/AR Architecture; Haptics,Large-scale UI Systems,Active
JD-551504,Junior Blockchain Developer,NextGen Software Labs,"Pune, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,The position contributes to scalable and production-ready software development.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with C++, Bitcoin Core, Scripting Language","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",C++; Bitcoin Core; Scripting Language; P2P Networking,Cryptography,Active
JD-493282,Junior Blockchain Developer,Flipkart,"Gurgaon, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,The role involves working across development cycles from design to deployment.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with C++, Bitcoin Core, Scripting Language",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,C++; Bitcoin Core; Scripting Language; P2P Networking,Cryptography,Not Active
JD-569237,Junior Blockchain Developer,Zoho Corporation,"Bengaluru, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with C++, Bitcoin Core, Scripting Language",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,C++; Bitcoin Core; Scripting Language; P2P Networking,Cryptography,Active
JD-642752,Junior Blockchain Developer,Wipro,"Pune, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with C++, Bitcoin Core, Scripting Language",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,C++; Bitcoin Core; Scripting Language; P2P Networking,Cryptography,Not Active
JD-325258,Blockchain Developer (Fresher),Capgemini India,"Bengaluru, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,This role supports long-term platform evolution and stability.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Solidity, Truffle, Hardhat","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Active
JD-698388,Blockchain Developer (Fresher),Paytm,"Mumbai, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,This role focuses on developing and maintaining scalable Blockchain Developer (Fresher) solutions for real-world applications.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Active
JD-263690,Blockchain Developer (Fresher),Wipro,"Pune, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,The position contributes to scalable and production-ready software development.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Active
JD-368691,Blockchain Developer (Fresher),Accenture India,"Bengaluru, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,The position contributes to scalable and production-ready software development.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Not Active
JD-869933,Mid-Level Blockchain Developer,TCS,"Gurgaon, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,The candidate will help translate requirements into effective technical implementations.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Solidity, NFT Marketplaces, Lazy Minting","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Solidity; NFT Marketplaces; Lazy Minting; IPFS,Metadata Standards,Active
JD-965814,Mid-Level Blockchain Developer,NextGen Software Labs,"Gurgaon, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,The position contributes to scalable and production-ready software development.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Solidity, NFT Marketplaces, Lazy Minting",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Solidity; NFT Marketplaces; Lazy Minting; IPFS,Metadata Standards,Active
JD-139186,Mid-Level Blockchain Developer,NextGen Software Labs,"Noida, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Solidity, NFT Marketplaces, Lazy Minting",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Solidity; NFT Marketplaces; Lazy Minting; IPFS,Metadata Standards,Active
JD-908348,Mid-Level Blockchain Developer,Capgemini India,"Pune, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Solidity, NFT Marketplaces, Lazy Minting",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Solidity; NFT Marketplaces; Lazy Minting; IPFS,Metadata Standards,Not Active
JD-226395,Senior Blockchain Developer,HCL Technologies,"Gurgaon, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,This position contributes to performance optimization and feature delivery.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Solidity, Cross-Chain Interoperability Protocol (CCIP), Wormhole","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Solidity; Cross-Chain Interoperability Protocol (CCIP); Wormhole,Additional role-relevant tools,Active
JD-649855,Senior Blockchain Developer,Infosys,"Pune, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,The role involves working across development cycles from design to deployment.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Solidity, Cross-Chain Interoperability Protocol (CCIP), Wormhole",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Solidity; Cross-Chain Interoperability Protocol (CCIP); Wormhole,Additional role-relevant tools,Active
JD-331522,Senior Blockchain Developer,Wipro,"Bengaluru, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,The candidate will help translate requirements into effective technical implementations.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Solidity, Cross-Chain Interoperability Protocol (CCIP), Wormhole",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Solidity; Cross-Chain Interoperability Protocol (CCIP); Wormhole,Additional role-relevant tools,Active
JD-703198,Senior Blockchain Developer,Flipkart,"Bengaluru, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Solidity, Cross-Chain Interoperability Protocol (CCIP), Wormhole",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Solidity; Cross-Chain Interoperability Protocol (CCIP); Wormhole,Additional role-relevant tools,Active
JD-513477,Senior Blockchain Developer,Wipro,"Mumbai, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Blockchain Security, Incident Response, Formal Verification","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Blockchain Security; Incident Response; Formal Verification; Audit Lead,Additional role-relevant tools,Active
JD-881519,Senior Blockchain Developer,Infosys,"Chennai, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Blockchain Security, Incident Response, Formal Verification",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Blockchain Security; Incident Response; Formal Verification; Audit Lead,Additional role-relevant tools,Active
JD-626199,Senior Blockchain Developer,Zoho Corporation,"Noida, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,This role supports continuous improvement of applications within the Senior Blockchain Developer domain.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Blockchain Security, Incident Response, Formal Verification",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Blockchain Security; Incident Response; Formal Verification; Audit Lead,Additional role-relevant tools,Active
JD-307731,Senior Blockchain Developer,Freshworks,"Hyderabad, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This role supports long-term platform evolution and stability.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Blockchain Security, Incident Response, Formal Verification",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Blockchain Security; Incident Response; Formal Verification; Audit Lead,Additional role-relevant tools,Active
JD-871403,Blockchain Architect,Flipkart,"Mumbai, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with System Design, Multi-chain Strategy, Interoperability","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",System Design; Multi-chain Strategy; Interoperability; Governance,C++; Rust,Active
JD-550956,Blockchain Architect,Capgemini India,"Gurgaon, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with System Design, Multi-chain Strategy, Interoperability",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,System Design; Multi-chain Strategy; Interoperability; Governance,C++; Rust,Active
JD-544114,Blockchain Architect,Capgemini India,"Pune, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,The role involves working across development cycles from design to deployment.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with System Design, Multi-chain Strategy, Interoperability",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,System Design; Multi-chain Strategy; Interoperability; Governance,C++; Rust,Active
JD-787247,Blockchain Architect,Infosys,"Noida, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,This role supports continuous improvement of applications within the Blockchain Architect domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with System Design, Multi-chain Strategy, Interoperability",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,System Design; Multi-chain Strategy; Interoperability; Governance,C++; Rust,Not Active
JD-746154,Blockchain Developer (Fresher),Freshworks,"Chennai, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,The candidate will help translate requirements into effective technical implementations.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Go, Hyperledger Fabric, Chaincode","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Go; Hyperledger Fabric; Chaincode; CouchDB,Private Blockchains,Active
JD-957915,Blockchain Developer (Fresher),HCL Technologies,"Mumbai, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,This role supports continuous improvement of applications within the Blockchain Developer (Fresher) domain.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Go, Hyperledger Fabric, Chaincode",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Go; Hyperledger Fabric; Chaincode; CouchDB,Private Blockchains,Active
JD-994188,Blockchain Developer (Fresher),TCS,"Bengaluru, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Go, Hyperledger Fabric, Chaincode",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Go; Hyperledger Fabric; Chaincode; CouchDB,Private Blockchains,Not Active
JD-254850,Blockchain Developer (Fresher),Accenture India,"Bengaluru, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,"The position involves contributing to feature development, enhancements, and system stability.","• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Go, Hyperledger Fabric, Chaincode",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Go; Hyperledger Fabric; Chaincode; CouchDB,Private Blockchains,Active
JD-594078,Mid-Level Blockchain Developer,Infosys,"Pune, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,This role supports long-term platform evolution and stability.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Rust, Substrate, Polkadot","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Rust; Substrate; Polkadot; Parachains,Cumulus; Ink! Smart Contracts,Active
JD-672967,Mid-Level Blockchain Developer,Flipkart,"Noida, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,This role supports long-term platform evolution and stability.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Rust, Substrate, Polkadot",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Rust; Substrate; Polkadot; Parachains,Cumulus; Ink! Smart Contracts,Active
JD-865380,Mid-Level Blockchain Developer,Wipro,"Gurgaon, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,This position contributes to performance optimization and feature delivery.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Rust, Substrate, Polkadot",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Rust; Substrate; Polkadot; Parachains,Cumulus; Ink! Smart Contracts,Active
JD-795759,Mid-Level Blockchain Developer,Flipkart,"Bengaluru, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,This role supports continuous improvement of applications within the Mid-Level Blockchain Developer domain.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Rust, Substrate, Polkadot",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Rust; Substrate; Polkadot; Parachains,Cumulus; Ink! Smart Contracts,Active
JD-310445,Mid-Level Blockchain Developer,NextGen Software Labs,"Chennai, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,This role focuses on developing and maintaining scalable Mid-Level Blockchain Developer solutions for real-world applications.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Solidity, Advanced DeFi (Flash Loans, AMMs), Yield Farming","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt","Solidity; Advanced DeFi (Flash Loans, AMMs); Yield Farming; Security",Additional role-relevant tools,Active
JD-108739,Mid-Level Blockchain Developer,TCS,"Hyderabad, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,The role involves working across development cycles from design to deployment.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Solidity, Advanced DeFi (Flash Loans, AMMs), Yield Farming",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,"Solidity; Advanced DeFi (Flash Loans, AMMs); Yield Farming; Security",Additional role-relevant tools,Active
JD-120005,Mid-Level Blockchain Developer,Accenture India,"Noida, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Solidity, Advanced DeFi (Flash Loans, AMMs), Yield Farming",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,"Solidity; Advanced DeFi (Flash Loans, AMMs); Yield Farming; Security",Additional role-relevant tools,Not Active
JD-633243,Mid-Level Blockchain Developer,NextGen Software Labs,"Bengaluru, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,The candidate will help translate requirements into effective technical implementations.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Solidity, Advanced DeFi (Flash Loans, AMMs), Yield Farming",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,"Solidity; Advanced DeFi (Flash Loans, AMMs); Yield Farming; Security",Additional role-relevant tools,Active
JD-657381,Blockchain Developer (Fresher),TCS,"Mumbai, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,This role supports long-term platform evolution and stability.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Solidity, Truffle, Hardhat","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Not Active
JD-687923,Blockchain Developer (Fresher),NextGen Software Labs,"Bengaluru, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Not Active
JD-419739,Blockchain Developer (Fresher),Capgemini India,"Hyderabad, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,This role supports continuous improvement of applications within the Blockchain Developer (Fresher) domain.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Active
JD-817552,Blockchain Developer (Fresher),Capgemini India,"Pune, India",Contract,Lead / Architect,Artificial Intelligence,?22–40 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Solidity, Truffle, Hardhat",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Solidity; Truffle; Hardhat; OpenZeppelin,ERC-20; ERC-721,Not Active
JD-625600,Mid-Level Blockchain Developer,Accenture India,"Noida, India",Full-time,Entry Level,Artificial Intelligence,?3–6 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with C++, Consensus Algorithms (PoW, PoS, Raft), Network Protocols","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt","C++; Consensus Algorithms (PoW, PoS, Raft); Network Protocols",Additional role-relevant tools,Active
JD-954441,Mid-Level Blockchain Developer,Infosys,"Chennai, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,The candidate will collaborate with cross-functional teams to deliver high-quality software.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with C++, Consensus Algorithms (PoW, PoS, Raft), Network Protocols",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,"C++; Consensus Algorithms (PoW, PoS, Raft); Network Protocols",Additional role-relevant tools,Active
JD-511929,Mid-Level Blockchain Developer,CloudNova Technologies,"Mumbai, India",Full-time,Senior Level,Artificial Intelligence,?12–22 LPA,This position contributes to performance optimization and feature delivery.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with C++, Consensus Algorithms (PoW, PoS, Raft), Network Protocols",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,"C++; Consensus Algorithms (PoW, PoS, Raft); Network Protocols",Additional role-relevant tools,Active
JD-810929,Mid-Level Blockchain Developer,Paytm,"Noida, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This position contributes to performance optimization and feature delivery.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with C++, Consensus Algorithms (PoW, PoS, Raft), Network Protocols",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,"C++; Consensus Algorithms (PoW, PoS, Raft); Network Protocols",Additional role-relevant tools,Active
JD-260169,Blockchain Dev Intern (Hyperledger),Zoho Corporation,"Pune, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,The candidate will help translate requirements into effective technical implementations.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Hyperledger Fabric Basics, Go, Docker","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Hyperledger Fabric Basics; Go; Docker; Linux,Chaincode; Documentation,Active
JD-316800,Blockchain Dev Intern (Hyperledger),CloudNova Technologies,"Mumbai, India",Full-time,Mid Level,Artificial Intelligence,?6–12 LPA,This role supports continuous improvement of applications within the Blockchain Dev Intern (Hyperledger) domain.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Hyperledger Fabric Basics, Go, Docker",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Hyperledger Fabric Basics; Go; Docker; Linux,Chaincode; Documentation,Active
JD-839389,Blockchain Dev Intern (Hyperledger),Flipkart,"Mumbai, India",Contract,Senior Level,Artificial Intelligence,?12–22 LPA,This role supports continuous improvement of applications within the Blockchain Dev Intern (Hyperledger) domain.,"• Design and implement complex features
• Review code and guide junior developers
• Ensure scalability and performance
• Collaborate with product and architecture teams","Hands-on experience with Hyperledger Fabric Basics, Go, Docker",Bachelor’s or Master’s degree in a relevant field; 5+ years of industry experience; experience owning modules and mentoring junior team members,Hyperledger Fabric Basics; Go; Docker; Linux,Chaincode; Documentation,Active
JD-692282,Blockchain Dev Intern (Hyperledger),Wipro,"Pune, India",Full-time,Lead / Architect,Artificial Intelligence,?22–40 LPA,This role supports long-term platform evolution and stability.,"• Define system architecture and design decisions
• Lead technical discussions and reviews
• Mentor engineering teams
• Ensure long-term scalability and maintainability","Hands-on experience with Hyperledger Fabric Basics, Go, Docker",Bachelor’s or Master’s degree in a relevant field; 8+ years of professional experience; demonstrated leadership and architectural decision-making experience,Hyperledger Fabric Basics; Go; Docker; Linux,Chaincode; Documentation,Active
JD-854388,Blockchain Security Engineer,TCS,"Mumbai, India",Contract,Entry Level,Artificial Intelligence,?3–6 LPA,This role supports continuous improvement of applications within the Blockchain Security Engineer domain.,"• Assist in development and testing of application components
• Collaborate with senior developers and QA teams
• Follow coding standards and best practices
• Participate in sprint meetings and reviews","Hands-on experience with Cryptography, Penetration Testing, Reentrancy Attacks","Bachelor’s degree in Computer Science, Engineering, or a related field; relevant academic projects or internship experience; strong willingness to learn and adapt",Cryptography; Penetration Testing; Reentrancy Attacks; Web3 Security,Additional role-relevant tools,Active
JD-902616,Blockchain Security Engineer,Capgemini India,"Hyderabad, India",Contract,Mid Level,Artificial Intelligence,?6–12 LPA,This position plays a key role in building reliable and maintainable technical solutions.,"• Develop and maintain application features
• Collaborate with cross-functional teams
• Participate in code reviews
• Ensure performance and reliability","Hands-on experience with Cryptography, Penetration Testing, Reentrancy Attacks",Bachelor’s degree in a relevant technical discipline; 2–5 years of professional experience in a similar role; experience working in Agile development environments,Cryptography; Penetration Testing; Reentrancy Attacks; Web3 Security,Additional role-relevant tools,Active
